url_path,views_total,views_unique
/dwsmith1983/spark-bestfit,254,9
/dwsmith1983/spark-bestfit/pulls,142,4
/dwsmith1983/spark-bestfit/issues,49,3
/dwsmith1983/spark-bestfit/actions,45,1
/dwsmith1983/spark-bestfit/pulse,25,1
/dwsmith1983/spark-bestfit/pull/18,19,4
/dwsmith1983/spark-bestfit/branches,18,2
/dwsmith1983/spark-bestfit/pull/23,18,2
/dwsmith1983/spark-bestfit/graphs/traffic,18,1
/dwsmith1983/spark-bestfit/pull/81,11,1
