time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-14 00:00:00+00:00,129.0,66.0,76,11
2025-12-15 00:00:00+00:00,1.0,1.0,14,6
2025-12-16 00:00:00+00:00,46.0,24.0,24,3
2025-12-17 00:00:00+00:00,114.0,69.0,94,3
2025-12-18 00:00:00+00:00,57.0,26.0,72,4
2025-12-19 00:00:00+00:00,5.0,5.0,6,1
2025-12-20 00:00:00+00:00,1.0,1.0,10,1
2025-12-21 00:00:00+00:00,,,1,1
2025-12-22 00:00:00+00:00,1.0,1.0,1,1
2025-12-23 00:00:00+00:00,1.0,1.0,25,3
2025-12-24 00:00:00+00:00,56.0,37.0,89,4
2025-12-25 00:00:00+00:00,,,19,2
