time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-10 00:00:00+00:00,31,14,0,0
2026-06-11 00:00:00+00:00,38,20,0,0
2026-06-12 00:00:00+00:00,34,10,0,0
2026-06-13 00:00:00+00:00,43,16,0,0
2026-06-14 00:00:00+00:00,56,17,9,1
2026-06-15 00:00:00+00:00,32,11,1,1
2026-06-16 00:00:00+00:00,28,10,0,0
2026-06-17 00:00:00+00:00,24,9,0,0
2026-06-18 00:00:00+00:00,38,12,0,0
2026-06-19 00:00:00+00:00,29,9,0,0
2026-06-20 00:00:00+00:00,50,12,0,0
2026-06-21 00:00:00+00:00,50,15,0,0
2026-06-22 00:00:00+00:00,30,11,0,0
2026-06-23 00:00:00+00:00,40,13,0,0
