time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-23 00:00:00+00:00,11,7,0,0
2026-05-24 00:00:00+00:00,17,7,0,0
2026-05-25 00:00:00+00:00,22,10,0,0
2026-05-26 00:00:00+00:00,9,4,0,0
2026-05-27 00:00:00+00:00,16,7,0,0
2026-05-28 00:00:00+00:00,29,7,0,0
2026-05-29 00:00:00+00:00,25,8,0,0
2026-05-30 00:00:00+00:00,32,12,0,0
2026-05-31 00:00:00+00:00,30,9,0,0
2026-06-01 00:00:00+00:00,24,7,0,0
2026-06-02 00:00:00+00:00,27,10,0,0
2026-06-03 00:00:00+00:00,3,3,0,0
2026-06-04 00:00:00+00:00,19,7,0,0
2026-06-05 00:00:00+00:00,32,10,0,0
