url_path,views_total,views_unique
/dwsmith1983/spark-bestfit,7,2
/dwsmith1983/spark-bestfit/pull/169,2,1
/dwsmith1983/spark-bestfit/blob/github-repo-stats/dwsmith1983/spark-bestfit/latest-report/report.pdf,1,1
/dwsmith1983/spark-bestfit/pull/168,1,1
/dwsmith1983/spark-bestfit/pull/168/changes,1,1
/dwsmith1983/spark-bestfit/pull/169/changes,1,1
/dwsmith1983/spark-bestfit/tree/github-repo-stats,1,1
/dwsmith1983/spark-bestfit/tree/github-repo-stats/dwsmith1983/spark-bestfit,1,1
/dwsmith1983/spark-bestfit/tree/github-repo-stats/dwsmith1983/spark-bestfit/latest-report,1,1
