time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-27 00:00:00+00:00,14,8,6,1
2025-12-28 00:00:00+00:00,83,34,47,4
2025-12-29 00:00:00+00:00,60,34,77,1
2025-12-30 00:00:00+00:00,121,62,92,4
2025-12-31 00:00:00+00:00,118,75,150,2
2026-01-01 00:00:00+00:00,140,73,76,3
2026-01-02 00:00:00+00:00,196,99,144,2
2026-01-03 00:00:00+00:00,8,4,7,1
2026-01-04 00:00:00+00:00,129,63,145,1
2026-01-05 00:00:00+00:00,296,87,244,4
2026-01-06 00:00:00+00:00,70,31,68,1
2026-01-07 00:00:00+00:00,46,25,28,1
2026-01-08 00:00:00+00:00,169,74,67,1
2026-01-09 00:00:00+00:00,92,46,40,3
