time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-07 00:00:00+00:00,32,8,0,0
2026-05-08 00:00:00+00:00,12,5,0,0
2026-05-09 00:00:00+00:00,18,7,0,0
2026-05-10 00:00:00+00:00,25,10,0,0
2026-05-11 00:00:00+00:00,38,10,0,0
2026-05-12 00:00:00+00:00,18,5,0,0
2026-05-13 00:00:00+00:00,27,8,0,0
2026-05-14 00:00:00+00:00,31,8,0,0
2026-05-15 00:00:00+00:00,11,7,0,0
2026-05-16 00:00:00+00:00,20,7,0,0
2026-05-17 00:00:00+00:00,16,7,0,0
2026-05-18 00:00:00+00:00,9,5,0,0
2026-05-19 00:00:00+00:00,26,10,0,0
2026-05-20 00:00:00+00:00,23,10,0,0
