url_path,views_total,views_unique
/dwsmith1983/spark-bestfit,13,3
/dwsmith1983/spark-bestfit/commits/main,4,2
/dwsmith1983/spark-bestfit/blob/github-repo-stats/dwsmith1983/spark-bestfit/latest-report/report.pdf,2,2
/dwsmith1983/spark-bestfit/tree/github-repo-stats,2,2
/dwsmith1983/spark-bestfit/tree/github-repo-stats/dwsmith1983/spark-bestfit,2,2
/dwsmith1983/spark-bestfit/tree/github-repo-stats/dwsmith1983/spark-bestfit/latest-report,2,2
/dwsmith1983/spark-bestfit/pull/169,2,1
/dwsmith1983/spark-bestfit/blob/github-repo-stats/dwsmith1983/spark-bestfit/latest-report/report.md,1,1
/dwsmith1983/spark-bestfit/branches,1,1
/dwsmith1983/spark-bestfit/pull/169/changes,1,1
