time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-01 00:00:00+00:00,714,5,0,0
2026-09-02 00:00:00+00:00,3,3,1,1
2026-09-03 00:00:00+00:00,14,8,0,0
2026-09-04 00:00:00+00:00,6,5,0,0
2026-09-05 00:00:00+00:00,6,5,0,0
2026-09-06 00:00:00+00:00,8,8,0,0
2026-09-07 00:00:00+00:00,52,26,0,0
2026-09-08 00:00:00+00:00,18,18,1,1
2026-09-09 00:00:00+00:00,4,4,0,0
2026-09-10 00:00:00+00:00,14,10,0,0
2026-09-11 00:00:00+00:00,9,8,0,0
2026-09-12 00:00:00+00:00,18,8,0,0
2026-09-13 00:00:00+00:00,7,7,0,0
2026-09-14 00:00:00+00:00,21,14,0,0
