time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-04 00:00:00+00:00,129,63,145,1
2026-01-05 00:00:00+00:00,296,87,244,4
2026-01-06 00:00:00+00:00,70,31,68,1
2026-01-07 00:00:00+00:00,46,25,28,1
2026-01-08 00:00:00+00:00,169,74,67,1
2026-01-09 00:00:00+00:00,92,46,40,3
2026-01-10 00:00:00+00:00,985,310,300,1
2026-01-11 00:00:00+00:00,313,153,218,1
2026-01-12 00:00:00+00:00,52,23,14,2
2026-01-13 00:00:00+00:00,41,32,21,3
2026-01-14 00:00:00+00:00,38,15,47,27
2026-01-15 00:00:00+00:00,13,5,12,6
2026-01-16 00:00:00+00:00,18,9,16,2
2026-01-17 00:00:00+00:00,21,9,2,1
