time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-26 00:00:00+00:00,12,6,0,0
2026-04-27 00:00:00+00:00,10,6,0,0
2026-04-28 00:00:00+00:00,18,6,0,0
2026-04-29 00:00:00+00:00,39,9,0,0
2026-04-30 00:00:00+00:00,30,9,0,0
2026-05-01 00:00:00+00:00,33,8,0,0
2026-05-02 00:00:00+00:00,43,10,0,0
2026-05-03 00:00:00+00:00,33,12,0,0
2026-05-04 00:00:00+00:00,40,12,3,1
2026-05-05 00:00:00+00:00,57,15,0,0
2026-05-06 00:00:00+00:00,26,10,0,0
2026-05-07 00:00:00+00:00,32,8,0,0
2026-05-08 00:00:00+00:00,12,5,0,0
2026-05-09 00:00:00+00:00,18,7,0,0
