time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-15 00:00:00+00:00,32,11,1,1
2026-06-16 00:00:00+00:00,28,10,0,0
2026-06-17 00:00:00+00:00,24,9,0,0
2026-06-18 00:00:00+00:00,38,12,0,0
2026-06-19 00:00:00+00:00,29,9,0,0
2026-06-20 00:00:00+00:00,50,12,0,0
2026-06-21 00:00:00+00:00,50,15,0,0
2026-06-22 00:00:00+00:00,30,11,0,0
2026-06-23 00:00:00+00:00,40,13,0,0
2026-06-24 00:00:00+00:00,51,14,0,0
2026-06-25 00:00:00+00:00,30,12,0,0
2026-06-26 00:00:00+00:00,13,6,0,0
2026-06-27 00:00:00+00:00,9,5,0,0
2026-06-28 00:00:00+00:00,14,8,0,0
