time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-24 00:00:00+00:00,51,14,0,0
2026-06-25 00:00:00+00:00,30,12,0,0
2026-06-26 00:00:00+00:00,13,6,0,0
2026-06-27 00:00:00+00:00,9,5,0,0
2026-06-28 00:00:00+00:00,14,8,0,0
2026-06-29 00:00:00+00:00,13,9,0,0
2026-06-30 00:00:00+00:00,22,8,0,0
2026-07-01 00:00:00+00:00,11,6,0,0
2026-07-02 00:00:00+00:00,26,16,0,0
2026-07-03 00:00:00+00:00,35,24,0,0
2026-07-04 00:00:00+00:00,5,4,1,1
2026-07-05 00:00:00+00:00,19,10,0,0
2026-07-06 00:00:00+00:00,24,11,0,0
2026-07-07 00:00:00+00:00,11,4,0,0
