time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-20 00:00:00+00:00,1,1,10,1
2025-12-21 00:00:00+00:00,0,0,1,1
2025-12-22 00:00:00+00:00,1,1,1,1
2025-12-23 00:00:00+00:00,1,1,25,3
2025-12-24 00:00:00+00:00,56,37,89,4
2025-12-25 00:00:00+00:00,258,117,217,2
2025-12-26 00:00:00+00:00,129,59,63,1
2025-12-27 00:00:00+00:00,14,8,6,1
2025-12-28 00:00:00+00:00,83,34,47,4
2025-12-29 00:00:00+00:00,60,34,77,1
2025-12-30 00:00:00+00:00,121,62,92,4
2025-12-31 00:00:00+00:00,118,75,150,2
2026-01-01 00:00:00+00:00,140,73,76,3
2026-01-02 00:00:00+00:00,196,99,144,2
